"ID","Weightvar","age","state","region","income","ethnicity","education","party","candidate","headline_id","accuracy","headline_value","headline_status","fact_check_link","guessed_correctly"
"1132979620",0.642720084739216,46,"Massachusetts","Northeast","$25,000 to $34,999","White","Some college, no degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1139327242",0.735884037056358,66,"Maryland","South","$25,000 to $34,999","White","Associate's degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1439748898",0.697680181084948,46,"Wisconsin","Midwest","$35,000 to $49,999","White","Associate's degree","Independent",NA,"B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1146608354",1.14845411915376,37,"Nebraska","Midwest","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1439748530",3.44718368588576,29,"Maine","Northeast","$75,000 to $99,999","White","Ph.D.","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147073856",0.579052238275037,30,"California","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1140011536",1.40916793216201,30,"Texas","South","$75,000 to $99,999","White","Graduate or professional degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147282285",1.16558049523274,38,"Florida","South","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1146023399",1.06591561391398,28,"Alabama","South","$75,000 to $99,999","White","Ph.D.","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1100906197",0.782696236992401,58,"Minnesota","Midwest","$25,000 to $34,999","White","Some college, no degree","Independent","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1028265947",0.681977213099476,80,"California","West","$50,000 to $74,999","White","Ph.D.","Republican","Other","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1027754804",0.606406390349257,64,"Pennsylvania","Northeast","$50,000 to $74,999","White","Ph.D.","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147354195",0.697680181084948,43,"Indiana","Midwest","$35,000 to $49,999","White","Associate's degree","Independent",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1137933311",0.773936143489965,31,"New York","Northeast","$35,000 to $49,999","White","Graduate or professional degree","Democrat","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1089742203",0.782696236992401,60,"Ohio","Midwest","$25,000 to $34,999","White","Associate's degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1439758666",0.635276804824806,22,"Arizona","West","$25,000 to $34,999","White","Associate's degree","Independent","Hillary Clinton","B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1145967575",1.05509120209333,52,"Oregon","West","$75,000 to $99,999","White","Bachelor's degree","Republican","Donald Trump","B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1069244747",0.579052238275037,30,"Arizona","West","$50,000 to $74,999","White","Some college, no degree","Independent","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1142014755",0.708267147544739,28,"New York","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1140569501",0.688730671489939,29,"Kansas","Midwest","$35,000 to $49,999","White","Bachelor's degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1143813753",3.2646111239259,69,"Florida","South","$75,000 to $99,999","White","Ph.D.","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1143539297",2.07137965067389,25,"California","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1439766115",0.710922452758741,51,"Texas","South","$25,000 to $34,999","White","Associate's degree","Independent",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147102905",1.07976634310186,40,"Texas","South","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147349986",0.708267147544739,32,"New York","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1027118279",0.811150692238137,65,"Michigan","Midwest","$35,000 to $49,999","White","Associate's degree","Independent","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1002921375",0.816348933972144,62,"Florida","South","Less than $25,000","White","Ph.D.","Independent","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1144995205",0.78342505500703,28,"Florida","South","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1439776041",0.765521993084965,29,"California","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1143502354",0.773936143489965,32,"New York","Northeast","$35,000 to $49,999","White","Ph.D.","Democrat",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1100663074",0.762636662671286,63,"Florida","South","$35,000 to $49,999","White","Ph.D.","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1136570306",0.633194584865808,41,"Washington","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147028610",0.777038168084735,20,"Maine","Northeast","$25,000 to $34,999","White","Some college, no degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145679733",1.37696520825518,31,"California","West","$75,000 to $99,999","White","Graduate or professional degree","Republican",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1142277565",0.856062529354088,32,"Georgia","South","$35,000 to $49,999","White","Associate's degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1139397766",0.762636662671286,56,"Texas","South","$35,000 to $49,999","White","Ph.D.","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1144571317",1.49881011443804,31,"Illinois","Midwest","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145151097",1.27397936196328,33,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145732878",0.691903015392675,54,"Colorado","West","$35,000 to $49,999","White","Ph.D.","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145853108",0.640154273184131,49,"New York","Northeast","$35,000 to $49,999","White","Ph.D.","Democrat","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1145457883",0.708267147544739,29,"New York","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Republican",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1146056610",0.710922452758741,41,"West Virginia","South","$25,000 to $34,999","White","Some college, no degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1076371049",0.735884037056358,76,"Georgia","South","$25,000 to $34,999","White","Some college, no degree","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1146045775",2.07137965067389,18,"California","West","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145594751",0.708267147544739,25,"New York","Northeast","$50,000 to $74,999","White","Ph.D.","Democrat","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1039926831",0.765693397654372,60,"Florida","South","$25,000 to $34,999","White","Bachelor's degree","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1439806151",1.27397936196328,28,"New York","Northeast","$75,000 to $99,999","White","Bachelor's degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1133640884",0.606406390349257,61,"New York","Northeast","$50,000 to $74,999","White","Ph.D.","Democrat","Hillary Clinton","B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"C1439817012",1.16558049523274,36,"Georgia","South","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145525025",0.585836757813313,36,"New York","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1141608203",0.78342505500703,26,"Florida","South","$50,000 to $74,999","White","Graduate or professional degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1440201966",1.24338017974609,24,"Nevada","West","$35,000 to $49,999","Other race","Ph.D.","Republican",NA,"B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"C1440202073",0.90345227051585,80,"Wisconsin","Midwest","Less than $25,000","White","Ph.D.","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1083844200",1.17893439568548,65,"Arizona","West","$75,000 to $99,999","White","Some college, no degree","Independent",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147313550",0.708267147544739,33,"New York","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1138071326",0.585416826972958,31,"New York","Northeast","$35,000 to $49,999","White","Associate's degree","Democrat","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1440206423",0.70047656305937,48,"Illinois","Midwest","$25,000 to $34,999","White","Ph.D.","Democrat","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1004489411",0.811150692238137,56,"Iowa","Midwest","$35,000 to $49,999","White","Some college, no degree","Independent","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1144173337",1.16558049523274,49,"Kentucky","South","$75,000 to $99,999","White","Ph.D.","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1440209602",1.20650582495683,72,"Virginia","South","$75,000 to $99,999","White","Ph.D.","Independent","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147343373",1.90691563484602,21,"California","West","Less than $25,000","Other race","Some college, no degree","Independent",NA,"B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1147364152",0.708267147544739,33,"New York","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1144906241",1.40916793216201,33,"Florida","South","$75,000 to $99,999","White","Graduate or professional degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1440213792",0.708267147544739,25,"New Hampshire","Northeast","$50,000 to $74,999","White","Graduate or professional degree","Republican","Donald Trump","B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1147265860",1.1337222958378,30,"Illinois","Midwest","$75,000 to $99,999","White","Ph.D.","Republican",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1147133729",1.1337222958378,24,"Minnesota","Midwest","$75,000 to $99,999","White","Ph.D.","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1146116628",0.632740707688276,33,"California","West","$35,000 to $49,999","White","Some college, no degree","Republican",NA,"B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1139434870",0.753128133858077,36,"Michigan","Midwest","$35,000 to $49,999","White","Ph.D.","Democrat","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1146074834",1.90691563484602,30,"California","West","Less than $25,000","Other race","Bachelor's degree","Independent","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1146700616",0.963656965736794,31,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1118976890",0.655952697822906,44,"Florida","South","$35,000 to $49,999","White","Graduate or professional degree","Independent",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1107702705",0.658581831271147,53,"Florida","South","$25,000 to $34,999","White","Some college, no degree","Democrat","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1143758829",0.765521993084965,28,"California","West","$50,000 to $74,999","White","Ph.D.","Republican",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1143626553",0.665286978656735,55,"Pennsylvania","Northeast","$25,000 to $34,999","White","Some college, no degree","Independent","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1139168739",0.595400762431603,38,"New Jersey","Northeast","$25,000 to $34,999","White","Ph.D.","Other","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1437146728",1.17893439568548,70,"Colorado","West","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1034569019",1.09075965043091,72,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1440239033",0.655952697822906,35,"Virginia","South","$35,000 to $49,999","White","Associate's degree","Independent",NA,"B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"C1440240118",0.650133856715106,19,"Arkansas","South","$25,000 to $34,999","White","Associate's degree","Republican",NA,"B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1007522007",0.748195544829893,76,"California","West","$25,000 to $34,999","White","Associate's degree","Democrat","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1144888611",0.68947309028607,74,"Massachusetts","Northeast","$35,000 to $49,999","White","Some college, no degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145879241",0.648002940424458,51,"Florida","South","$50,000 to $74,999","White","Ph.D.","Democrat","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1131964735",1.37696520825518,33,"Nevada","West","$75,000 to $99,999","White","Ph.D.","Democrat",NA,"B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1100707871",1.17893439568548,66,"California","West","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1025814168",0.745208663262054,63,"Washington","West","$35,000 to $49,999","White","Associate's degree","Independent","Other","B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1100935650",0.650133856715106,34,"Alabama","South","$25,000 to $34,999","White","Bachelor's degree","Democrat",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1102110512",2.2989110666383,27,"Delaware","South","$75,000 to $99,999","Black or African American","Ph.D.","Democrat",NA,"B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1101443330",0.665286978656735,74,"New Hampshire","Northeast","$25,000 to $34,999","White","Some college, no degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1031766284",1.20650582495683,69,"West Virginia","South","$75,000 to $99,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1136022106",1.16558049523274,35,"Florida","South","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1120626301",0.54270538690888,54,"Connecticut","Northeast","$50,000 to $74,999","White","Some college, no degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1100742308",0.71619679789663,66,"Washington","West","$35,000 to $49,999","White","Bachelor's degree","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1146211578",0.773936143489965,31,"New York","Northeast","$35,000 to $49,999","White","Ph.D.","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1134863646",0.585416826972958,34,"New York","Northeast","$35,000 to $49,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1440258213",1.87217851253193,36,"California","West","$35,000 to $49,999","White","Bachelor's degree","Independent","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1145668359",2.22784438373043,30,"Minnesota","Midwest","$75,000 to $99,999","Other race","Graduate or professional degree","Democrat",NA,"B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"C1440260729",0.642720084739216,50,"Pennsylvania","Northeast","$25,000 to $34,999","Other race","Associate's degree","Independent","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1138849341",1.27397936196328,32,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1139259965",0.640962672048247,35,"Colorado","West","$35,000 to $49,999","White","Associate's degree","Republican","Hillary Clinton","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1101549641",0.732946304425445,59,"Florida","South","$35,000 to $49,999","White","Some college, no degree","Republican","Donald Trump","B","somewhat accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1137770994",0.681977213099476,60,"Colorado","West","$50,000 to $74,999","White","Some college, no degree","Republican","Donald Trump","B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1136107560",0.586576563496743,47,"Idaho","West","$50,000 to $74,999","White","Bachelor's degree","Democrat","Hillary Clinton","B","not at all accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
"1144803506",1.06591561391398,34,"Florida","South","$75,000 to $99,999","White","Graduate or professional degree","Democrat",NA,"B","very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","no"
"1142627867",0.78342505500703,31,"Florida","South","$50,000 to $74,999","White","Graduate or professional degree","Democrat","Hillary Clinton","B","not very accurate","Donald Trump Sent His Own Plane to Transport 200 Stranded Marines","Fake","<a href=http://www.snopes.com/trump-tower-air/>Snopes</a>","yes"
